experiment,algorithm,param_name,param_value,seed,episode,return
baseline,TD3,baseline,baseline,0,0,-1774.4212508173478
baseline,TD3,baseline,baseline,0,1,-1616.3363299648045
baseline,TD3,baseline,baseline,0,2,-1404.0088162866757
baseline,TD3,baseline,baseline,0,3,-1377.9314493465301
baseline,TD3,baseline,baseline,0,4,-1625.1803139705557
baseline,TD3,baseline,baseline,0,5,-1457.0812605382348
baseline,TD3,baseline,baseline,0,6,-1432.280129914849
baseline,TD3,baseline,baseline,0,7,-1806.835519990987
baseline,TD3,baseline,baseline,0,8,-1802.068489793913
baseline,TD3,baseline,baseline,0,9,-1867.6080520223502
baseline,TD3,baseline,baseline,0,10,-1648.4687767730095
baseline,TD3,baseline,baseline,0,11,-1598.766942633598
baseline,TD3,baseline,baseline,0,12,-1735.9502274233248
baseline,TD3,baseline,baseline,0,13,-1632.1179312249901
baseline,TD3,baseline,baseline,0,14,-1587.026652255375
baseline,TD3,baseline,baseline,0,15,-1678.7260502831452
baseline,TD3,baseline,baseline,0,16,-1232.1120537124286
baseline,TD3,baseline,baseline,0,17,-1317.545135830713
baseline,TD3,baseline,baseline,0,18,-1662.8687136182375
baseline,TD3,baseline,baseline,0,19,-1272.727200491237
baseline,TD3,baseline,baseline,0,20,-1318.4352660615345
baseline,TD3,baseline,baseline,0,21,-1203.5389447426303
baseline,TD3,baseline,baseline,0,22,-1330.6714873868123
baseline,TD3,baseline,baseline,0,23,-1462.1893033036047
baseline,TD3,baseline,baseline,0,24,-1183.0581644765991
baseline,TD3,baseline,baseline,0,25,-1262.8462653174174
baseline,TD3,baseline,baseline,0,26,-1014.2389799822311
baseline,TD3,baseline,baseline,0,27,-897.3412165913902
baseline,TD3,baseline,baseline,0,28,-1143.697572866101
baseline,TD3,baseline,baseline,0,29,-1004.6233748869817
baseline,TD3,baseline,baseline,0,30,-1165.1578679054562
baseline,TD3,baseline,baseline,0,31,-963.4563145040761
baseline,TD3,baseline,baseline,0,32,-1032.541228895204
baseline,TD3,baseline,baseline,0,33,-893.9926661364044
baseline,TD3,baseline,baseline,0,34,-880.3801554130804
baseline,TD3,baseline,baseline,0,35,-764.6126595660469
baseline,TD3,baseline,baseline,0,36,-758.0915293128539
baseline,TD3,baseline,baseline,0,37,-877.2977567754017
baseline,TD3,baseline,baseline,0,38,-1106.2422289313456
baseline,TD3,baseline,baseline,0,39,-884.620962619016
baseline,TD3,baseline,baseline,0,40,-649.0993595040303
baseline,TD3,baseline,baseline,0,41,-760.4684748992318
baseline,TD3,baseline,baseline,0,42,-851.6698516820078
baseline,TD3,baseline,baseline,0,43,-1068.147906484659
baseline,TD3,baseline,baseline,0,44,-920.9394814734865
baseline,TD3,baseline,baseline,0,45,-1038.0273745456616
baseline,TD3,baseline,baseline,0,46,-1007.1589919058853
baseline,TD3,baseline,baseline,0,47,-915.6147278848392
baseline,TD3,baseline,baseline,0,48,-925.4306852066092
baseline,TD3,baseline,baseline,0,49,-1103.6555747779778
